Investiga;Id;Moneda;Precio;Unidades vendidas;Venta Diaria Promedio;IdSeller;Nickname;Stock;Exposicion;T. Oficial;Condición;Cuotas;Envío Gratis;Días publicados;Reputación;Ubicación;Envío Flex;Envío Full
Juego De Mesa El Futbolero - Maldón;MLA773086048;ARS;4730;1;0;156413223;CROSSOVER COMICS;3;Clásica;Crossover Comics Store;Nuevo;12;Si;1134;Platinum;Interior;No;No
Robots - El Juego - Maldón ;MLA916410839;ARS;3330;0;0;156413223;CROSSOVER COMICS;1;Clásica;Crossover Comics Store;Nuevo;12;No;356;Platinum;Interior;No;No
Juego De Mesa Shiki De Maldon Niños +4 Años Familiar Premium;MLA1109735247;ARS;1294;0;0;26447966;LOADINGHOBBIES;1;Premium; ;Nuevo;6;No;163;Gold;Capital Federal;Si;No
Yogi;MLA906333745;ARS;4440;0;0;191055363;HADOUKEN CORDOBA;1;Clásica; ;Nuevo;12;Si;432;Líder;Interior;No;No
Atenea Juego De Mesa Original Maldon;MLA907315021;ARS;4899;0;0;141258544;APIOVERDE OFICIAL;5;Clásica;Apioverde;Nuevo;12;Si;425;Platinum;Capital Federal;Si;No
Robots;MLA906333722;ARS;4140;0;0;191055363;HADOUKEN CORDOBA;1;Clásica; ;Nuevo;12;Si;432;Líder;Interior;No;No
Tiburón;MLA906335051;ARS;3300;0;0;191055363;HADOUKEN CORDOBA;2;Clásica; ;Nuevo;12;No;432;Líder;Interior;No;No
El Futbolero;MLA836472840;ARS;5920;0;0;191055363;HADOUKEN CORDOBA;1;Clásica; ;Nuevo;12;Si;799;Líder;Interior;No;No
Juego De Mesa El Benjamin Maldon 3 En 1 Para Niños +3 Años;MLA1109560077;ARS;2640;1;10;26447966;LOADINGHOBBIES;1;Clásica; ;Nuevo;12;No;164;Gold;Capital Federal;Si;No
Juego De Mesa El Benjamin Maldon 3 En 1 Para Niños +3 Años;MLA1109577227;ARS;3220;0;0;26447966;LOADINGHOBBIES;1;Premium; ;Nuevo;6;No;164;Gold;Capital Federal;Si;No
El Macanudo;MLA836471942;ARS;6705;1;0;191055363;HADOUKEN CORDOBA;1;Clásica; ;Nuevo;12;Si;799;Líder;Interior;No;No
Juego Mesa Robots Maldón Familiar Cartas Batallas Estrategia;MLA922546047;ARS;4060;0;0;26447966;LOADINGHOBBIES;1;Premium; ;Nuevo;6;Si;315;Gold;Capital Federal;Si;No
Combo Juegos Shiki + Pescadores + Sr. Dix + Camarero- Maldon;MLA1112984306;ARS;8341;0;0;923694;.MAGIC4EVER;1998;Clásica; ;Nuevo;12;Si;139;Platinum;Capital Federal;Si;No
El Futbolero Juego De Mesa De Maldon Preguntas Y Respuestas;MLA1110030485;ARS;4730;0;0;26447966;LOADINGHOBBIES;1;Clásica; ;Nuevo;12;Si;161;Gold;Capital Federal;Si;No
Illusion;MLA906333683;ARS;4140;0;0;191055363;HADOUKEN CORDOBA;2;Clásica; ;Nuevo;12;Si;432;Líder;Interior;No;No
Juego Mesa Robots Maldón Familiar Cartas Batallas Estrategia;MLA922546025;ARS;3330;0;0;26447966;LOADINGHOBBIES;1;Clásica; ;Nuevo;12;No;315;Gold;Capital Federal;Si;No
El Melómano Maldón Juego De Mesa Musica Preguntas Respuestas;MLA1111552482;ARS;4730;0;0;26447966;LOADINGHOBBIES;1;Clásica; ;Nuevo;12;Si;149;Gold;Capital Federal;Si;No
